code,name,latest_close,rsi,above_ma60,volatility,pullback_5d,pullback_20d,ret_3d,price,open,prev_close,gap_pct,volume_ratio,turnover,is_auction_signal,eps,profit_growth,roe,gross_margin,forecast_type,s_fund_flow,main_pct_1d,consecutive_inflow,s_lhb,lhb_count,inst_net_buy,s_chip,main_cost,inst_participation,is_hot_leader,s_gap,s_volume_ratio,s_auction,s_trend,s_rsi,s_forecast,s_fundamental,s_hot,s_turnover,total_score,sector
600459,贵研铂业,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,24.9,26.76,25.85,3.5203094777562867,4.632606199770379,4.39150401836969,1,0.31,318.37,4.12,5.1519395579,,0.49476425362657994,-7.49,False,0.0,,,-0.020004802381512254,25.187241555104,0.5195484,0,1.255539890586861,0.9300039443418417,1.0,-0.0,0.0,0.0,1.1034927101305172,0.0,0.0,0.43068545369444317,其他
300229,拓尔思,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,23.95,24.0,23.15,3.6717062634989266,4.839265212399541,4.638346727898966,1,0.0119,18.61,0.46,55.3396337468,略增,0.49476425362657994,-7.49,False,0.0,,,0.335827283169009,23.161590594375,0.3614376,0,1.120304475869583,1.1413184500384492,1.0,-0.0,0.0,1.0,-0.11789800604328943,0.0,0.0,0.3569587359721689,其他
002832,比音勒芬,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,16.67,16.0,15.53,3.0264005151320066,4.07577497129736,3.9552238805970146,1,0.19,-25.27,4.7,65.7785037603,,0.49476425362657994,-7.49,False,0.0,,,0.23819245283895202,15.488050672819,0.3325752,0,1.696724840884407,0.3606287484370941,1.0,-0.0,0.0,0.0,-0.08914799672363485,0.0,0.0,0.3480154186673068,其他
603393,新天然气,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,35.6,35.0,34.07,2.7296742001761074,4.483352468427095,3.5533869115958665,1,0.37,8.06,3.24,38.3788199388,,0.49476425362657994,-7.49,False,0.0,,,0.3715425576654035,33.72242848293,0.3719956,0,1.2373692585174152,0.7773879124498474,1.0,-0.0,0.0,0.0,-0.10186704338613378,0.0,0.0,0.3393517106657735,其他
300008,天海防务,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,9.82,10.2,9.75,4.615384615384608,4.954075774971297,4.982778415614236,1,0.0133,369.42,3.1,26.1430730167,扭亏,0.49476425362657994,-7.49,False,0.0,,,-0.532844752053952,9.825297469032,0.3679448,0,0.2773623179434774,1.2587153976476757,1.0,-0.0,0.0,0.5,1.2952533450263353,0.0,0.0,0.3314822581046061,其他
001337,四川黄金,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,52.33,52.68,50.67,3.966844286560091,4.822043628013778,3.777267508610792,1,,,,,,0.49476425362657994,-7.49,False,0.2547865669324278,3.0,0.0,0.3461514939819467,50.302129571482,0.3644896,0,0.8566719769910243,1.1237089078970663,1.0,-0.0,0.0,0.0,-0.4274332402754455,0.0,0.0,0.31575399741179644,其他
301217,铜冠铜箔,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,49.23,49.0,47.45,3.266596417281343,4.764638346727899,3.7715269804822045,0,,,,,,0.49476425362657994,-7.49,False,-0.07182554648761774,1.0,0.0,0.137395410101315,46.809563051829,0.302778,0,1.4821694771016245,1.0650104340924529,0.0,-0.0,0.0,0.0,-0.4274332402754455,0.0,0.0,0.2885851279836273,制造
600456,宝钛股份,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,42.86,45.4,44.35,2.367531003382181,4.65556831228473,3.7428243398392653,1,0.0961,40.43,1.1,18.8804006008,,0.49476425362657994,-7.49,False,0.0,,,-0.02153922637389405,43.613774691987,0.5190948,0,0.5903993091194214,0.9534833338636871,1.0,-0.0,0.0,0.0,-0.18026273907855808,0.0,0.0,0.25033624163214824,其他
600961,株冶集团,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,24.55,24.96,23.85,4.654088050314463,4.489092996555683,4.092996555683123,1,0.04,188.0405038611,,4.6505934469,,0.49476425362657994,-7.49,False,0.0,,,0.34535451361906067,23.480841748803,0.364254,0,0.24279041439844812,0.7832577598303081,1.0,-0.0,0.0,0.0,0.25421128789502023,0.0,0.0,0.2475854907559188,其他
002170,芭田股份,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,14.79,14.97,14.64,2.254098360655738,4.219288174512055,4.2594718714121695,1,0.0073,177.12,0.34,19.0531320305,扭亏,0.49476425362657994,-7.49,False,0.0,,,0.35763125866569034,14.582228770061,0.3678832,0,0.3877515394677726,0.5073749329486267,1.0,-0.0,0.0,0.5,0.34572292525621223,0.0,0.0,0.24650450309510294,其他
002216,三全食品,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,12.58,12.96,12.76,1.5673981191222657,3.7083811710677383,3.857634902411022,1,0.32,541.13,10.93,37.0318703033,预增,0.49476425362657994,-7.49,False,0.0,,,0.6644470486555745,12.520467528468,0.4585828,0,-0.8390405815762965,-0.01504148391243132,1.0,-0.0,0.0,1.0,2.5847805045681485,0.0,0.0,0.2454437631355415,消费
002151,北斗星通,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,45.05,44.6,43.8,1.82648401826485,4.931113662456946,4.454649827784156,1,0.0428,225.92,0.64,24.7775331745,扭亏,0.49476425362657994,-7.49,False,0.0,,,0.1424262640728095,43.802774523672,0.3042652,0,-0.3761828155269338,1.235236008125831,1.0,-0.0,0.0,0.5,0.5500620320759902,0.0,0.0,0.2290026925611307,其他
301500,飞南资源,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,22.96,22.11,21.59,2.4085224641037497,4.299655568312285,3.8059701492537314,1,,,,,,0.49476425362657994,-7.49,False,-0.2351316031976405,0.0,0.0,0.20074114132119444,21.176792381103,0.321504,0,0.6636306814151551,0.5895527962750853,1.0,-0.0,0.0,0.0,-0.4274332402754455,0.0,0.0,0.20181231258965548,其他
002237,恒邦股份,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,18.79,19.34,18.9,2.328042328042335,4.695752009184845,4.684270952927669,0,0.1,-17.99,1.9,1.3349036856,,0.49476425362657994,-7.49,False,-0.07182554648761774,1.0,0.0,0.5567045047249087,18.484097689142,0.4267324,0,0.5198526675903475,0.9945722655269162,0.0,-0.0,0.0,0.0,-0.31886198296506735,0.0,0.0,0.19851205654373405,其他
603162,海通发展,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,15.98,15.68,15.12,3.703703703703707,3.83467278989667,3.7256027554535014,1,,,,,,0.49476425362657994,-7.49,False,0.0,,,-0.2330692072057091,15.117960222873,0.1932628,0,1.091722712559624,0.11409515845771759,1.0,-0.0,0.0,0.0,-0.4274332402754455,0.0,0.0,0.19829446618366686,其他
000930,中粮科技,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,7.19,6.95,6.77,2.6587887740029634,3.691159586681975,4.540757749712974,0,0.0545,73.79,1.02,10.9748268217,预增,0.49476425362657994,-7.49,False,0.0,,,-0.04107000755933973,6.760858717941,0.2500208,0,1.110732223802137,-0.03265102605381552,0.0,-0.0,0.0,1.0,0.13334959897119691,0.0,0.0,0.17810255613958928,科技
601890,亚星锚链,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,12.88,14.32,13.69,4.601899196493797,4.724454649827784,4.856486796785305,1,0.02,-19.24,0.65,25.3790463579,,0.49476425362657994,-7.49,False,0.09148051022240503,2.0,0.0,-0.7301075401750695,13.736399377644,0.3096308,0,0.28940818937588136,1.0239215024292228,1.0,-0.0,0.0,0.0,-0.43772531467871945,0.0,0.0,0.16655729247857007,其他
000899,赣能股份,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,15.16,14.88,14.61,1.8480492813141778,4.856486796785305,4.8679678530424795,1,0.06,-31.02,1.22,22.0132260286,略减,0.49476425362657994,-7.49,False,-0.07182554648761774,1.0,0.0,0.6178433174866096,14.438135149586,0.444806,0,-0.33765640589865287,1.158927992179834,1.0,-0.0,0.0,-0.5,-0.5282922344693558,0.0,0.0,0.16205847087804626,其他
000737,北方铜业,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,17.54,18.19,18.0,1.0555555555555627,4.667049368541906,4.690011481056257,0,0.1569,1854.22,19.53,19.513950554,预增,0.49476425362657994,-7.49,False,-0.2351316031976405,0.0,0.0,-0.5997193878347936,17.795880457979,0.3481756,0,-1.7534489161305542,0.9652230286246096,0.0,-0.0,0.0,1.0,3.371385331871619,0.0,0.0,0.14290679932875455,制造
600125,铁龙物流,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,6.63,6.66,6.46,3.0959752321981453,2.8071182548794487,4.052812858783009,0,0.108,13.75,2.323,5.5973037449,,0.49476425362657994,-7.49,False,0.0,,,0.012205897072088523,6.439202035857,0.26577,0,1.634577116478482,-0.9366075226448596,0.0,-0.0,0.0,0.0,-0.1651148892853604,0.0,0.0,0.13329041118684584,其他
301050,雷电微力,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,57.79,56.53,55.39,2.058133237046399,4.517795637198622,2.944890929965557,0,0.05,,0.93,53.5571582751,,0.49476425362657994,-7.49,False,0.0,,,0.43207111890985217,55.390081925325,0.3898888,0,0.03765923557327104,0.8126069967326153,0.0,-0.0,0.0,0.0,-0.3423701601135585,0.0,0.0,0.11891689009511706,其他
000552,甘肃能化,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,2.64,2.69,2.62,2.6717557251908333,2.801377726750861,4.804822043628014,0,0.0646,-1.0,1.75,24.4647044286,,0.49476425362657994,-7.49,False,0.0,,,0.5241433239906317,2.598364950817,0.4171068,0,1.1338977225002564,-0.9424773700253207,0.0,-0.0,0.0,0.0,-0.27099329226444335,0.0,0.0,0.09284360223004631,其他
002545,东方铁塔,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,28.37,27.77,27.24,1.9456681350954523,3.9667049368541907,3.0137772675086105,0,0.0365,101.11,0.59,26.5979231494,预增,0.49476425362657994,-7.49,False,0.0,,,0.41399360168038335,27.337617531906,0.3845448,0,-0.16326001946839844,0.24910164820832825,0.0,-0.0,0.0,1.0,0.19305402368718333,0.0,0.0,0.08253165977099425,其他
300101,振芯科技,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,27.13,27.78,27.18,2.2075055187638024,4.2078071182548795,3.3639494833524686,0,0.0082,36.45,0.49,50.5946975269,略增,0.49476425362657994,-7.49,False,0.0,,,-0.8040169822490255,27.227258063831,0.287782,0,0.3045132822590152,0.49563523818770366,0.0,-0.0,0.0,1.0,-0.05048425376497806,0.0,0.0,0.0746400257200841,科技
601083,锦江航运,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,12.52,12.99,12.53,3.671189146049488,2.261768082663605,2.6406429391504016,1,,,,,,0.49476425362657994,-7.49,False,0.0,,,0.1156996832107981,12.501615511197,0.2963644,0,1.1207663918368826,-1.4942430237886852,1.0,-0.0,0.0,0.0,-0.4274332402754455,0.0,0.0,0.0669103000646076,其他
603299,苏盐井神,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,12.17,12.02,11.69,2.822925577416596,2.675086107921929,3.1056257175660162,0,0.0977,-48.5,1.874,35.6760459287,,0.49476425362657994,-7.49,False,0.0,,,-0.07974046900402473,11.640738408951,0.2385892,0,1.403963134499856,-1.0716140123954696,0.0,-0.0,0.0,0.0,-0.4318384676738651,0.0,0.0,0.06616922756200946,其他
605090,九丰能源,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,48.79,49.78,48.99,1.6125739946927924,4.3283582089552235,2.7324913892078073,0,0.27,,4.82,11.5115264179,,0.49476425362657994,-7.49,False,0.0,,,0.7344933685970353,48.040989660302,0.4792896,0,-0.7583337391155635,0.6189020331773913,0.0,-0.0,0.0,0.0,0.013431325724871906,0.0,0.0,0.05020182148071209,能源
603093,南华期货,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,20.99,20.03,19.66,1.8819938962360172,4.121699196326062,3.65097588978186,0,0.05,11.2,1.28,,,0.49476425362657994,-7.49,False,-0.07182554648761774,1.0,0.0,0.5302877854980432,19.102298811097,0.4189232,0,-0.2770142455799167,0.4075875274807838,0.0,-0.0,0.0,0.0,-0.2697573098479165,0.0,0.0,0.04898652968354121,其他
002221,东华能源,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,8.8,8.95,8.58,4.312354312354303,3.3180252583237655,4.070034443168772,0,0.1697,-23.68,2.83,5.9882672735,,0.49476425362657994,-7.49,False,0.0,,,0.049086197192328374,8.545947300801,0.2766724,0,0.5480446081994172,-0.4141911057838016,0.0,-0.0,0.0,0.0,-0.2544250832571262,0.0,0.0,0.04797896750101181,能源
002895,川恒股份,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,42.95,43.6,42.98,1.4425314099581306,3.6969001148105622,1.894374282433984,0,0.0631,394.05,1.26,26.2329471494,预增,0.49476425362657994,-7.49,False,0.0,,,0.37147760850170486,42.93384836772,0.3719764,0,-1.06211534654388,-0.02678117867335431,0.0,-0.0,0.0,1.0,1.3162399472141286,0.0,0.0,0.035658247405444564,其他
002651,利君股份,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,11.15,11.32,11.07,2.2583559168925023,3.0597014925373136,3.450057405281286,0,0.03,-34.81,1.5,42.1713641813,,0.49476425362657994,-7.49,False,0.0,,,-0.1537459817159518,11.016621198147,0.216712,0,0.3953576769499737,-0.6783342379045612,0.0,-0.0,0.0,0.0,-0.41642054841990184,0.0,0.0,-0.020019444164400078,其他
002287,奇正藏药,10.9,55.55555555555559,False,0.10287611622459468,-0.008189262966333044,-0.021543985637342944,0.0036832412523020164,25.19,25.2,24.61,2.3973994311255584,2.6865671641791042,1.7853042479908152,0,0.0924,-42.52,2.15,83.9992390204,,0.49476425362657994,-7.49,False,0.0,,,-0.1788758956370369,24.560445991178,0.2092832,0,0.643759348343703,-1.0598743176345473,0.0,-0.0,0.0,0.0,-0.3849165137486599,0.0,0.0,-0.02572604365711267,医药
