code,latest_close,rsi,boll_pos,vol_ratio,above_ma60,volatility,pullback_5d,pullback_20d,overnight_win_rate,ret_3d,main_pct_1d,main_pct_3d,main_pct_5d,flow_trend,name,is_hot_leader,hot_concept,hot_score,s_rsi,s_boll,s_vol,s_volatility,s_trend,s_flow_1d,s_flow_trend,s_overnight,s_hot,total_score
600664,3.48,37.037037037037024,0.2015665903421323,0.9057514631700623,False,0.13861595566969445,-0.019718309859154903,-0.03867403314917128,0.45,-0.011363636363636354,15.35,-2.869999999999999,-3.62,12.41,哈药股份,False,,0.0,0.7587606433734314,1.0163689257960324,0.49473189358571446,1.6663401033281973,-1.6308487780851146,2.631711413959564,1.206122248645825,-0.07506478110088863,-0.1767982784351456,0.7774987328492063
301078,10.63,49.009900990099034,0.17883490718685624,0.9921207938568778,True,0.3110758882235668,-0.031876138433515444,-0.08044982698961933,0.45,-0.00839552238805974,5.58,-1.64,-4.76,13.32,孩子王,False,,0.0,-0.2635321748143636,1.10468235888151,0.2589723260523444,0.4072702882958206,1.173520813860188,1.1174562033161577,1.3102181573164322,-0.07506478110088863,-0.1767982784351456,0.5651755488521721
600789,9.16,13.291139240506368,0.3585988070843465,0.8162414571315608,False,0.4332131424487806,-0.01505376344086029,-0.14948932219127198,0.35,0.004385964912280826,2.14,-3.0333333333333328,-4.953999999999999,16.09,鲁抗医药,False,,0.0,2.786283955588666,0.40629293314746645,0.7390644610113857,-0.4844112043770664,-1.6308487780851146,0.5842895784836789,1.627081527665423,-1.1593338414470584,-0.1767982784351456,0.4941003744810702
002061,4.08,50.0,0.34090967956406065,1.3104126076979694,True,0.16468829143583982,-0.012106537530266248,-0.030878859857482177,0.45,0.0049261083743843415,4.2,-2.3,-4.104000000000001,16.89,浙江交科,False,,0.0,-0.34807093772728764,0.47501585036095295,-0.6098585399953739,1.4759950737063845,0.051772977082067066,0.9035695921915005,1.7185944144088137,-0.07506478110088863,-0.1767982784351456,0.4906467085435698
600037,7.99,49.04761904761907,0.38594365945354336,0.6522827949653615,True,0.3166393067010738,-0.07308584686774933,-0.07308584686774933,0.4,-0.01842751842751844,0.96,-9.166666666666666,-6.76,15.059999999999999,歌华有线,False,,0.0,-0.26675269911580846,0.3000571663789673,1.1866171163146857,0.36665371046413,1.173520813860188,0.4014010269423053,1.509258685983307,-0.6171993112739732,-0.1767982784351456,0.48578174255698087
000950,5.87,29.5918367346939,0.22949530238372032,0.7883925941033835,False,0.25874784336483647,-0.03135313531353123,-0.13037037037037036,0.4,0.006861063464836947,-6.23,-9.403333333333334,-9.978,10.66,重药控股,False,,0.0,1.394462746804453,0.9078648425215884,0.8150826013814535,0.7892990922367401,-0.5091009413069935,-0.7129792150767421,1.0059378088946576,-0.6171993112739732,-0.1767982784351456,0.4667898515499302
002737,14.03,28.57142857142857,0.2349771358156886,1.0579058835683661,False,0.12051376693130317,-0.017507002801120497,-0.05074424898511498,0.4,-0.002133712660028486,-0.68,-4.343333333333334,-1.966,6.720000000000001,葵花药业,False,,0.0,1.481589431031042,0.8865677160979563,0.07940089511508926,1.7984978694192157,-1.6308487780851146,0.14721693835937938,0.5552368416834579,-0.6171993112739732,-0.1767982784351456,0.46178047407641026
603279,18.45,51.42487046632124,0.5334778291665934,0.9251620799976118,True,0.5188443985891407,-0.03453689167974883,-0.12351543942992882,0.5,-0.0016233766233766378,5.97,-3.9533333333333345,0.3919999999999998,25.18,景津环保,False,,0.0,-0.46973229212658885,-0.273118560898879,0.4417473608536852,-1.1095751380110666,1.173520813860188,1.1779024195035608,2.666896703287201,0.46706974907219595,-0.1767982784351456,0.4401332947396028
301267,18.68,43.81625441696108,0.3230225235762594,0.8027617951668584,False,0.1713846471714509,-0.026068821689259614,-0.04057524396507439,0.45,-0.004264392324093924,7.23,1.1466666666666667,0.15600000000000006,7.680000000000001,华厦眼科,False,,0.0,0.17992292604867755,0.5445081155235324,0.7758594581477868,1.4271073161120624,-1.6308487780851146,1.3731901948782481,0.665052305775527,-0.07506478110088863,-0.1767982784351456,0.42870221925835406
600114,33.83,43.87019230769229,0.5706076668342154,1.1665700831412835,True,0.432924446355826,-0.028710881424059753,-0.09108006448146155,0.45,0.0074449076831446526,7.14,5.62,6.483999999999999,1.5299999999999994,东睦股份,False,,1.0,0.17531748506656275,-0.41736935886819265,-0.21721625467580946,-0.48230353489712274,0.051772977082067066,1.35924106806577,-0.03845301106429022,-0.07506478110088863,5.569145770707086,0.40966200548758097
