code,latest_close,rsi,boll_pos,vol_ratio,above_ma60,above_ma20,volatility,pullback_5d,pullback_20d,overnight_win_rate,overnight_avg_ret,ret_3d,score_rsi,score_boll,score_vol,score_volatility,score_trend,score_overnight,total_score,name
603236,84.66,12.144212523719176,0.20969666977909368,0.8442138892474507,False,False,0.31283272295653175,-0.04219934381717394,-0.15761194029850745,0.25,-0.0075568362065651425,-0.01695308871342327,2.884213319035529,0.9847832653136473,0.6627090181006136,0.3944442506793112,-0.5091009413069935,-2.2436029017932273,0.746340591031512,移远通信
000950,5.87,29.5918367346939,0.22949530238372032,0.7883925941033835,False,False,0.25874784336483647,-0.03135313531353123,-0.13037037037037036,0.4,-0.002679923717324651,0.006861063464836947,1.394462746804453,0.9078648425215884,0.8150826013814535,0.7892990922367401,-0.5091009413069935,-0.6171993112739732,0.6268325494104712,重药控股
300199,18.22,25.588235294117666,0.21898763110315997,0.7974166606961915,False,False,0.29751017476130204,-0.04856396866840729,-0.1286465805834529,0.35,-0.004720740766944199,-0.0065430752453653485,1.7363068549170038,0.9486875355963235,0.7904498987728464,0.5063088306794579,-0.5091009413069935,-1.1593338414470584,0.6039105696797631,翰宇药业
002737,14.03,28.57142857142857,0.2349771358156886,1.0579058835683661,False,False,0.12051376693130317,-0.017507002801120497,-0.05074424898511498,0.4,-0.0024363247716448514,-0.002133712660028486,1.481589431031042,0.8865677160979563,0.07940089511508926,1.7984978694192157,-1.6308487780851146,-0.6171993112739732,0.568644975483396,葵花药业
300294,22.17,26.953124999999957,0.22191138766251362,1.1683316008621245,False,False,0.21175065981140917,-0.018157661647475454,-0.07586494372655261,0.5,-0.0021792070824168393,-0.006720430107526765,1.6197669067966487,0.9373286328041749,-0.22202461260524325,1.1324091371462859,-1.6308487780851146,0.46706974907219595,0.5407988153527116,博雅生物
002967,23.08,39.626168224299036,0.15320783275054858,0.8107428237800504,True,False,0.34446179607048083,-0.042720862712567476,-0.13428357089272325,0.35,-0.0022169038581946973,-0.009867009867009835,0.5376898763071212,1.2042444945996524,0.7540739025650941,0.16353141982345104,1.173520813860188,-1.1593338414470584,0.5209712505505047,广电计量
600664,3.48,37.037037037037024,0.2015665903421323,0.9057514631700623,False,False,0.13861595566969445,-0.019718309859154903,-0.03867403314917128,0.45,-0.00039077362747917747,-0.011363636363636354,0.7587606433734314,1.0163689257960324,0.49473189358571446,1.6663401033281973,-1.6308487780851146,-0.07506478110088863,0.4974895095934033,哈药股份
301047,74.05,32.32432432432432,0.3582224561160173,1.1006463208101476,True,False,0.19646368985382717,-0.00962953056038518,-0.0737961225766105,0.35,-0.001529757327788813,0.0028439869989165256,1.1611516150971508,0.40775507063333416,-0.03726629357539501,1.2440139728427502,0.051772977082067066,-1.1593338414470584,0.4864965773191328,义翘神州
601609,11.37,40.23529411764706,0.34273869001058677,0.9123515781809314,True,False,0.453302491318344,-0.0388841927303466,-0.12064965197215782,0.6,0.0011652123989339559,-0.023195876288659933,0.4856801793304297,0.4679100768650544,0.4767157731844186,-0.6310765334813837,1.173520813860188,1.551338809418365,0.46806061866461635,金田铜业
002626,18.9,34.18530351437698,0.3400931749867947,0.8965050485949031,False,False,0.22300817913090695,-0.019200830306175476,-0.09178279673234024,0.55,-0.002399691123386575,0.0010593220338983578,1.0022534877780622,0.4781880009604402,0.5199715322877723,1.0502219151206953,-1.6308487780851146,1.009204279245281,0.46662479616764746,金达威
