code,latest_close,rsi,rsi_low_days,boll_pos,vol_ratio,above_ma60,volatility,pullback_5d,pullback_20d,overnight_win_rate,ret_3d,name,is_hot_leader,hot_concept,hot_score,s_rsi,s_boll,s_vol,s_volatility,s_trend,s_flow_1d,s_flow_trend,s_overnight,s_hot,s_fundamental,total_score,sector,s_news
601107,6.25,40.67796610169488,0,0.30091487359040514,1.3637808427494997,True,0.18164004418628374,-0.04434250764525993,-0.06015037593984962,0.5,-0.009508716323296307,四川成渝,False,,0.0,1.1332434791419652,0.3589453346144212,-0.24179848617937255,1.262780816146179,1.7153336911706432,0,0,0.7262811225129664,0.0,0,0.8788130439737893,其他,0.0
002239,3.17,50.0,0,0.12639978167923024,1.2137593434434182,True,0.203610550277756,-0.04518072289156627,-0.08381502890173409,0.45,-0.03647416413373861,奥特佳,False,,0.0,0.39104521044014895,0.8771592731223995,0.23202395681246268,1.0134870165958223,1.7153336911706432,0,0,0.16012497189262237,0.0,0,0.8122204882287919,其他,0.0
003012,7.17,43.02325581395348,0,0.22970188974365757,1.1713295494499976,True,0.1977193152350383,-0.042723631508678306,-0.0602883355176933,0.35,-0.011034482758620734,东鹏控股,False,,0.0,0.946517064817405,0.5704087698278718,0.36603267382031807,1.0803333769722612,1.7153336911706432,0,0,-0.9721873293480664,0.0,0,0.7826233770889164,其他,0.0
603100,24.49,49.64370546318288,0,0.23828130634181827,1.1582474967362313,True,0.24984391839107,-0.04036050156739812,-0.049301242236024945,0.5,-0.03086664028492292,川仪股份,False,,0.0,0.41941253792022376,0.5449326163517214,0.40735055295668143,0.48888863206193034,1.7153336911706432,0,0,0.7262811225129664,0.0,0,0.7300654984865544,其他,0.0
603358,49.08,43.85733157199472,0,0.18451792301115696,1.2385870687874405,True,0.23421662213289987,-0.03594578668238069,-0.11086956521739133,0.4,-0.016235718580878022,华达科技,False,,0.0,0.8801099276692648,0.7045803254305265,0.1536089727545205,0.6662076271127746,1.7153336911706432,0,0,-0.4060311787277217,0.0,0,0.71882254468831,科技,0.0
600621,16.01,43.354430379746866,0,0.12518286055824096,1.0605235932054742,True,0.30216215416292713,-0.03786057692307687,-0.12894450489662668,0.45,-0.027339003645200477,华鑫股份,False,,0.0,0.9201497299577224,0.8807728602342946,0.7159981729566017,-0.10475321337558084,1.7153336911706432,0,0,0.16012497189262237,0.0,0,0.6432313214626552,其他,0.0
002626,19.34,68.75,0,0.6080666765853923,0.8727411924655817,True,0.2360757531812249,-0.036372695565520696,-0.0556640625,0.45,-0.012761613067891808,金达威,False,,0.0,-1.1017853981987258,-0.5531267607369301,1.3090832726323174,0.6451125353124597,1.7153336911706432,0,0,0.16012497189262237,0.0,0,0.6348690007167833,其他,0.0
301215,7.0,57.60000000000001,0,0.3457541472514107,1.3073577112722023,True,0.25013659110118025,-0.05660377358490565,-0.05660377358490565,0.45,-0.0463215258855586,中汽股份,False,,0.0,-0.21404879626147563,0.2257973280481259,-0.0635937213857787,0.48556774852723555,1.7153336911706432,0,0,0.16012497189262237,0.0,0,0.6052768473539579,其他,0.0
600064,8.8,57.14285714285714,0,0.27903303614266795,1.4028190598417494,True,0.23715544913558836,-0.03296703296703285,-0.04658721560130008,0.4,-0.017857142857142905,南京高科,False,,0.0,-0.17765216427942207,0.42392236921584614,-0.36509537014769256,0.6328614972297779,1.7153336911706432,0,0,-0.4060311787277217,0.0,0,0.5952053505199237,其他,0.0
002063,6.59,58.33333333333333,0,0.4924450264348083,1.1552819205565346,True,0.23664185452295777,-0.030882352941176472,-0.047687861271676346,0.35,-0.014947683109118204,远光软件,False,,0.0,-0.27243506006601725,-0.2097939862177941,0.41671692082289924,0.6386891259552251,1.7153336911706432,0,0,-0.9721873293480664,0.0,0,0.5734766888097742,科技,0.0
