code,ret_20d,ret_5d,volatility_20d,drawdown_20d,latest_close,roe,gross_margin,revenue_growth,net_profit_growth,debt_ratio,eps,bps,prev_eps,report_date,industry,name,pe,pb,ret_20d_adj,momentum_crash,revenue_growth_adj,net_profit_growth_adj,industry_group,composite_score,pe_raw,pb_raw,roe_raw,revenue_growth_raw,net_profit_growth_raw,volatility_raw,ret_20d_raw,ret_5d_raw,drawdown_raw,prev_eps_raw
300476,1.4132073542378922,0.13319633850177492,-1.5656234376790121,-0.0633974616311026,303.3,2.1001353854190445,0.46687126069752,2.486242293640295,2.606067692439736,-0.049912967540621786,3.78,17.586037247997,1.34,2025-09-30,未知,胜宏科技,-0.8282501152494035,-2.5145247884582633,0.14237288135593218,False,83.3953356447,324.3754679912,其他,0.63243699186412,80.23809523809524,17.246636961066656,29.06,83.3953356447,324.3754679912,0.5330168434653983,0.14237288135593218,0.13319633850177492,-0.0633974616311026,1.34
300502,-0.41121748583097867,0.024028382518948455,-2.0122671826544667,-0.19279661016949157,381.0,2.1001353854190445,1.2187752388491342,2.486242293640295,2.606067692439736,0.8377177082941669,6.37,14.612083281337,4.0,2025-09-30,通信设备,新易盛,-0.3468906351832055,-2.5454886641470904,-0.019633070015181553,False,221.7034931799,284.3749944794,其他,0.5783796208821735,59.8116169544741,26.07431073751303,55.2,221.7034931799,284.3749944794,0.6628018147806595,-0.019633070015181553,0.024028382518948455,-0.19279661016949157,4.0
600160,0.9560851004573103,0.06492867683226766,-0.381677098479165,-0.014116575591985536,43.3,0.8476639191585142,0.005379742322318109,-0.07984112026793809,2.591366658370957,0.790734713342794,1.203,7.56906844613,0.73,2025-09-30,未知,巨化股份,0.21439792655988507,-0.17383431959015463,0.10178117048346058,False,13.8911006047,160.2191827849,其他,0.5228374749674187,35.993349958437236,5.720651135363813,16.87,13.8911006047,160.2191827849,0.3518855873425233,0.10178117048346058,0.06492867683226766,-0.014116575591985536,0.73
601456,-0.4617536951883753,-0.0051229508196720674,1.0320667993175856,-0.03574975173783512,9.71,-1.3721272904961088,,2.486242293640295,2.606067692439736,-1.0994865218781582,0.31,9.157528915457,0.14,2025-09-30,未知,国联民生,0.3244667821369359,0.7725810328025089,-0.024120603015075237,False,93.87865324656,161.14075583419336,其他,0.4376122442507414,31.322580645161292,1.0603297122666449,3.74,201.1685426712,345.3016196447,0.1187096811418,-0.024120603015075237,-0.0051229508196720674,-0.03574975173783512,0.14
300866,-1.1949258991407075,-0.05627575118078598,0.359465011388927,-0.10977343824059149,93.91,1.4310067938551998,1.0494539075275335,0.45024359981196527,0.021532293683808906,-0.005476010590559862,3.63,18.444319890156,3.9939,2025-09-30,未知,安克创新,0.45294705155445975,-0.046074880349292045,-0.08922509940839884,False,27.7869437518,31.341713047,其他,0.37968986931791193,25.87052341597796,5.091540406980315,20.27,27.7869437518,31.341713047,0.23849869058781714,-0.08922509940839884,-0.05627575118078598,-0.10977343824059149,3.9939
600066,-0.5503719917914032,-0.0608317815021725,-0.05783507693009849,-0.07856272838002443,30.26,2.1001353854190445,-0.4235318721045119,-0.24672105336179573,0.10214451466110608,-0.36523181426585516,1.49,6.059289673382,1.86,2025-09-30,未知,宇通客车,0.5840134271352119,-0.026263326983440687,-0.03198976327575176,False,9.5164463526,35.3844245977,其他,0.2984887749123728,20.308724832214768,4.993984712916085,24.2,9.5164463526,35.3844245977,0.30234118637905,-0.03198976327575176,-0.0608317815021725,-0.07856272838002443,1.86
002463,1.416190983267901,0.13142620232172475,-1.865505615536512,-0.0458041958041957,81.87,1.5682639408426553,0.43723568552805875,1.295919801623026,0.3342845327721627,0.12618380634917398,1.4134,7.247627624842,1.3516,2025-09-30,未知,沪电股份,-0.3024117033281853,-1.3060952801792116,0.14263782274947667,False,49.9558224394,47.0262714693,其他,0.2875854376833906,57.924154521013165,11.2961101532565,21.07,49.9558224394,47.0262714693,0.5788956419934654,0.14263782274947667,0.13142620232172475,-0.0458041958041957,1.3516
603893,-0.8477639396627523,-0.04891127721806954,-0.723784399451278,-0.1619015798768555,175.59,1.3143382189158628,0.8575178614104364,1.1244489988107849,1.8223703789816037,1.554965859379087,1.86,10.069835268515,1.42,2025-09-30,未知,瑞芯微,-1.1620580184414688,-2.5454886641470904,-0.058397683397683364,False,45.4608213765,121.653936679,其他,0.23604056357189473,94.40322580645162,17.43722665940833,19.59,45.4608213765,121.653936679,0.40422438269347166,-0.058397683397683364,-0.04891127721806954,-0.1619015798768555,1.42
000999,-0.033547921513577404,0.014608695652174042,0.49790936467842833,-0.03218314532183142,29.17,-0.07882182300680991,1.6325537962969177,-0.1756953984157999,-1.0123603556216658,0.7451208764808674,1.42,12.687775778311,2.63,2025-09-30,未知,华润三九,0.5785102147500717,0.5210197337874195,0.013903371567605127,False,11.3783399767,-20.508114496,其他,0.22442583805461652,20.542253521126764,2.2990633275427506,11.47,11.3783399767,-20.508114496,0.21731817016710778,0.013903371567605127,0.014608695652174042,-0.03218314532183142,2.63
600415,-1.334550309430243,-0.039946737683089206,0.2850753184274542,-0.16065192083818391,14.42,0.6915339144602838,0.5574918028066456,0.2701799591826617,0.3627622450220203,-0.0699699192851364,0.63,4.045613544739,0.56,2025-09-30,未知,小商品城,0.5232106587107582,0.26406518391201017,-0.13549160671462823,False,23.0666867591,48.454431801,其他,0.22239272869131638,22.88888888888889,3.5643542915145883,15.96,23.0666867591,48.454431801,0.2498795260890384,-0.13549160671462823,-0.039946737683089206,-0.16065192083818391,0.56
