code,name,latest_close,rsi,above_ma60,volatility,pullback_5d,pullback_20d,ret_3d,vol_ratio_daily,consecutive_vol,ma_aligned,ma5_cross,resistance_ratio,turnover,pct_chg,volume_ratio,eps,profit_growth,roe,gross_margin,forecast_type,s_forecast,s_fundamental,s_fund_flow,main_pct_1d,consecutive_inflow,s_lhb,lhb_count,inst_net_buy,s_chip,main_cost,inst_participation,s_volume_breakout,s_ma_alignment,s_momentum,s_rsi,s_hot,s_turnover,s_resistance_break,total_score,sector
603128,华贸物流,6.15,68.11594202898547,True,0.16336528307200204,-0.00646203554119551,-0.00646203554119551,0.014851485148514865,3.9334291717350434,True,True,False,0.9935379644588045,3.989424206815511,2.67111853088481,2.4970622796709754,0.23,-35.07,5.04,9.3617059028,,0.0,-0.5173160224251122,1.2346370219419103,55.582732358293455,True,0.0,,,0.37623613381082227,6.097043831546,0.3748532,2.449114388215436,1.0,0.5362911369525036,-0.33383047504631996,-0.2581988897471612,0.25819888974716104,1.7709980543544173,1.0031668104579756,其他
600717,天津港,4.85,55.319148936170194,True,0.1847756080503372,-0.012219959266802527,-0.020202020202020332,0.008316008316008316,3.2592910504825308,False,False,True,0.9797979797979797,4.2420681551116335,1.041666666666663,2.5675675675675675,0.27,-12.65,3.97,27.5307997067,,0.0,-0.5227003853345128,-1.0099499131630543,-25.162266160890184,False,0.0,,,0.21894461918393593,4.853856938418,0.3714816,1.0248837032313105,0.5,0.38277118088384254,0.9180338063773802,-0.2581988897471612,0.25819888974716104,0.20835271227699023,0.5155276232356489,其他
300415,伊之密,27.4,84.25531914893614,True,0.19945366928329586,-0.047949965253648474,-0.047949965253648474,0.01896615842320548,3.1603727938804664,False,True,False,0.9520500347463515,2.7790834312573445,1.2939001848428757,3.871915393654524,1.23,17.45,18.07,31.8741366466,,0.0,0.41655065907756117,0.33722023609941254,12.651112020065906,True,0.0,,,0.12111228020370968,27.858043202287,0.3514752,0.8892686338937363,1.0,0.6329458228394594,-1.5856947564700201,-0.2581988897471612,0.25819888974716104,0.20835271227699023,0.39533861368354156,其他
002216,三全食品,12.87,68.36734693877551,True,0.4226171664574464,-0.03014318010550121,-0.03014318010550121,0.008620689655172376,2.0912292689298972,True,True,True,0.9698568198944988,3.507638072855464,1.9809825673534076,3.3490011750881314,0.45,0.37,8.76,23.7667469651,,0.0,-0.19616776169509192,0.4440906642020601,17.707150309556955,True,0.0,,,-0.4441158337261568,12.902931462058,0.3053096,-0.07650703026171124,1.5,0.389928220378001,-0.33383047504631996,-0.2581988897471612,0.25819888974716104,0.20835271227699023,0.3511857689876074,消费
600179,安通控股,5.29,59.349593495934975,True,0.3216722798016531,-0.009363295880149725,-0.009363295880149725,0.060120240480961984,2.7669768306047047,False,False,False,0.9906367041198503,4.9588719153936545,4.545454545454554,4.494712103407756,0.1569,311.77,5.98,15.2904680159,,0.0,0.46505601174886985,1.4696552869208142,64.52298215768639,True,0.0,,,0.31411877958427387,5.218743507282,0.3621504,0.34993016727087417,0.0,-0.27955433113213835,0.9180338063773802,-0.2581988897471612,0.25819888974716104,1.7709980543544173,0.32149701067003833,其他
000930,中粮科技,7.21,80.30303030303027,True,0.3467150124368464,-0.025675675675675746,-0.025675675675675746,0.06499261447562787,2.363133709172332,False,True,False,0.9743243243243243,4.465334900117509,1.4064697609001355,3.6368977673325498,0.0427,724.42,0.75,8.4061452536,,0.0,0.6485019852690559,0.09807301178756594,14.111028957551094,True,0.0,,,-0.6325497826932538,7.243207059953,0.3361972,-0.20373115669357036,1.0,1.7141185807350807,-1.5856947564700201,-0.2581988897471612,0.25819888974716104,0.20835271227699023,0.2689754615195083,科技
600125,铁龙物流,6.73,67.24137931034484,True,0.24576012126144178,-0.024637681159420333,-0.024637681159420333,0.04179566563467496,2.4998052704652713,False,False,True,0.9753623188405797,4.08930669800235,1.6616314199395819,2.8319623971797885,0.419,38.57,7.283,10.7541417278,,0.0,-0.18425727816341939,-0.07348550098827644,6.582147030651646,True,0.0,,,-0.4284930951737923,6.767437489587,0.3085044,-0.016357016692505184,0.5,1.169216554722658,-0.33383047504631996,-0.2581988897471612,0.25819888974716104,0.20835271227699023,0.2482590068528949,其他
601963,重庆银行,10.35,53.469387755102034,False,0.3459747374373086,-0.026340545625588074,-0.06504065040650409,0.05720122574055164,3.3475112562341898,False,False,False,0.9349593495934959,3.460634547591069,5.182926829268291,2.796709753231492,1.4,10.19,8.7075,,,0.0,-0.17317368803030614,1.9472284680849081,105.59815147524611,True,0.0,,,0.21242465961937357,10.280414509208,0.2025108,1.1458319460629234,0.0,-1.7575374418344978,0.9180338063773802,3.6147844564602565,0.25819888974716104,-1.354292629800437,0.20147710158674084,金融
301565,中仑新材,25.43,55.30973451327433,False,0.2790641250110841,-0.02003853564547209,-0.03271205781666031,0.00992851469420164,2.896925868219279,False,True,False,0.9672879421833397,1.3807285546415982,3.7959183673469377,2.156286721504113,0.167,-42.02,2.81,13.9860040348,,0.0,-0.6717041816282909,0.8553484963238985,26.876415087049587,True,0.0,,,0.5310565445202229,25.328835283888,0.26767,0.5280878537467574,1.0,-1.4585702981795603,0.9180338063773802,-0.2581988897471612,-3.6147844564602556,0.20835271227699023,-0.02158412143125775,其他
000065,北方国际,13.0,59.999999999999986,True,0.30610529555620253,-0.026946107784431073,-0.026946107784431073,0.010886469673405896,1.5028028793534083,True,False,False,0.9730538922155689,3.537015276145711,1.167315175097279,3.4195064629847236,0.46,-36.02,4.96,14.2384437891,,0.0,-0.5247234773445039,0.030147668939140615,10.985014258581318,True,0.0,,,-0.296817683396144,13.047975134882,0.3354316,-0.8832285431923041,0.0,0.44315194953733955,0.9180338063773802,-0.2581988897471612,0.25819888974716104,0.20835271227699023,-0.04161633442106569,其他
