code,name,latest_close,rsi,above_ma60,volatility,pullback_5d,pullback_20d,ret_3d,price,open,prev_close,gap_pct,volume_ratio,turnover,is_auction_signal,eps,profit_growth,roe,gross_margin,forecast_type,s_fund_flow,main_pct_1d,consecutive_inflow,s_lhb,lhb_count,inst_net_buy,s_chip,main_cost,inst_participation,is_hot_leader,s_gap,s_volume_ratio,s_auction,s_trend,s_rsi,s_forecast,s_fundamental,s_hot,s_turnover,total_score,sector
300773,拉卡拉,26.61,41.562064156206404,True,0.4006009890406464,-0.09304703476482623,-0.09304703476482623,-0.03482045701849845,27.05,27.71,26.61,4.133784291619698,4.666666666666667,4.247126436781609,0,0.44,-33.9,9.69,27.0852440686,,0.0,,,0.0,,,0.48952666152733093,26.848407831079,0.32613,0,1.3838393501749935,1.931738386448537,0.0,1.250733286387636,0.9715504394576003,0.0,-0.13966984053545828,0.0,0.1993579437684637,1.0017552826608453,其他
600475,华光环能,20.85,41.11747851002866,True,0.5265782718785873,-0.08552631578947367,-0.08552631578947367,-0.02478952291861547,21.43,21.4,20.85,2.6378896882493863,4.074712643678161,3.689655172413793,0,0.3604,-28.46,3.84,18.2866819967,,0.4445675328169725,-4.188063573504438,False,0.0,,,1.1374569008912816,20.906918391665,0.3860684,0,1.8420035201701719,1.2449702566703467,0.0,1.250733286387636,0.9715504394576003,0.0,-0.5107745994480519,0.0,0.1993579437684637,0.9757485518040596,其他
300657,弘信电子,30.85,50.76060848678944,True,0.4973021936527251,-0.09927007299270074,-0.1000583430571762,-0.05076923076923068,30.72,31.58,30.85,2.366288492706635,4.068965517241379,3.0344827586206895,1,0.1887,65.47,7.51,11.7215838932,,0.0,,,0.0,,,-0.12415328287679112,30.940518392413,0.3380804,0,1.2343425091375826,1.238302604924927,1.0,1.250733286387636,0.9715504394576003,0.0,0.15978777359417312,0.0,0.1993579437684637,0.9728836182208055,科技
000969,安泰科技,23.83,47.76674937965259,True,0.475213427522912,-0.10715623829149501,-0.10715623829149501,-0.10413533834586475,24.88,24.4,23.83,2.3919429290809915,4.672413793103448,4.362068965517241,0,0.2702,-17.19,5.12,17.2062910839,,0.11302324695110377,-3.6373399182670823,False,0.0,,,-0.08541966853151611,24.040977629507,0.2802048,0,1.29173990281827,1.938406038193956,0.0,1.250733286387636,0.9715504394576003,0.0,-0.37354179351488775,0.0,0.1993579437684637,0.9675109855460037,科技
300236,上海新阳,74.81,46.859903381642525,True,0.45402170538911385,-0.11341550130362643,-0.11905322656617989,-0.039172874389930556,76.37,76.66,74.81,2.4729314262799016,4.086206896551724,1.5977011494252875,0,0.6778,62.7,3.43,40.4563314914,,1.069421128175915,18.362789654662524,True,0.0,,,0.15290040936265872,75.527130465964,0.3259632,0,1.4729377506096037,1.258305560161185,0.0,1.250733286387636,0.9715504394576003,0.0,-0.12855248718923246,0.0,0.1993579437684637,0.918717049733919,其他
002617,露笑科技,8.56,40.35714285714286,True,0.4308535921434098,-0.09704641350210974,-0.09704641350210974,-0.05934065934065924,8.91,8.76,8.56,2.3364485981308327,4.459770114942529,4.82183908045977,0,0.1305,5.17,3.95,21.977478038,,0.0,,,0.0,,,-0.0823843145550498,8.610453950779,0.2807876,0,1.1675808718377065,1.6917029236134413,0.0,1.250733286387636,0.9715504394576003,0.0,-0.35210275057562296,0.0,0.1993579437684637,0.8946312788534929,科技
600577,精达股份,14.13,52.51641137855581,True,0.42453477409592544,-0.09306803594351731,-0.09306803594351731,-0.05611222444889774,14.67,14.45,14.13,2.2646850672328274,4.419540229885057,4.517241379310345,0,0.21,8.42,7.59,5.6969275064,,0.0,,,0.0,,,1.2416005833096337,14.177158571668,0.4060644,0,1.0070223011966344,1.6450293613955056,0.0,1.250733286387636,0.9715504394576003,0.0,-0.09135608651168257,0.0,0.1993579437684637,0.8771843342950725,其他
603220,中贝通信,25.37,50.12195121951219,True,0.4665863387942641,-0.10543018335684051,-0.10543018335684051,-0.060718252499074477,25.28,26.0,25.37,2.4832479306267206,4.017241379310345,3.2471264367816093,0,0.1959,-41.14,4.11,19.0876863193,,-0.48577863481166106,-29.42590686682014,False,0.0,,,-0.7336884818932677,25.558540850481,0.285514,0,1.496019156599672,1.1782937392161537,0.0,1.250733286387636,0.9715504394576003,0.0,-0.5495394439826284,0.0,0.1993579437684637,0.8483735992696478,科技
600353,旭光电子,17.71,46.61654135338347,True,0.5024235546768705,-0.11272545090180364,-0.11272545090180364,-0.08664259927797835,18.01,18.15,17.71,2.484472049689428,3.724137931034483,3.4655172413793105,0,0.1219,25.04,5.47,24.1165906214,,0.0,,,0.0,,,0.5917848375091235,17.941157055611,0.2812972,0,1.498757912685714,0.8382435001997681,0.0,1.250733286387636,0.9715504394576003,0.0,-0.15996737437519218,0.0,0.1993579437684637,0.8302159919562567,科技
300088,长信科技,6.34,46.0,True,0.33790660940016604,-0.07848837209302328,-0.07848837209302328,-0.05373134328358209,6.83,6.47,6.34,2.050473186119872,4.683908045977011,4.942528735632184,0,0.1159,-2.54,3.33,11.1398192139,,1.1946011321150847,5.499685785477021,True,0.0,,,0.5361027829081492,6.387690355184,0.3350728,0,0.5277600211018395,1.9517413416847942,0.0,1.250733286387636,0.9715504394576003,0.0,-0.4286980395130213,0.0,0.1993579437684637,0.8269247361145096,科技
