code,latest_close,rsi,rsi_low_days,boll_pos,vol_ratio,above_ma60,volatility,pullback_5d,pullback_20d,overnight_win_rate,ret_3d,name,is_hot_leader,hot_concept,hot_score,s_rsi,s_boll,s_vol,s_volatility,s_trend,s_flow_1d,s_flow_trend,s_overnight,s_hot,total_score,sector
000950,5.87,29.5918367346939,3,0.22949530238372032,0.7883925941033835,False,0.25874784336483647,-0.03135313531353123,-0.13037037037037036,0.4,0.006861063464836947,重药控股,False,,0.0,1.6225372819283606,0.9547712114107434,0.813045749613936,0.8507142397018329,-0.6226251676083844,0,0,-0.6742483691375651,0.0,0.4315670380551533,医药
300199,18.22,25.588235294117666,4,0.21898763110315997,0.7974166606961915,False,0.29751017476130204,-0.04856396866840729,-0.1286465805834529,0.35,-0.0065430752453653485,翰宇药业,False,,0.0,1.9930751971626801,0.995284259855622,0.7890555778439926,0.5660048790616272,-0.6226251676083844,0,0,-1.2300477004536663,0.0,0.4016296624064758,医药
300294,22.17,26.953124999999957,3,0.22191138766251362,1.1683316008621245,False,0.21175065981140917,-0.018157661647475454,-0.07586494372655261,0.5,-0.006720430107526765,博雅生物,False,,0.0,1.866753086021263,0.9840115155940782,-0.19700907882761812,1.1959085971962005,-1.7912447129656597,0,0,0.43735029349463617,0.0,0.3939630483422705,医药
600664,3.48,37.037037037037024,2,0.2015665903421323,0.9057514631700623,False,0.13861595566969445,-0.019718309859154903,-0.03867403314917128,0.45,-0.011363636363636354,哈药股份,False,,0.0,0.9334754361180825,1.0624522792451745,0.5010512182482463,1.7330830680459288,-1.7912447129656597,0,0,-0.11844903782146447,0.0,0.3677337310516607,医药
002967,23.08,39.626168224299036,3,0.15320783275054858,0.8107428237800504,True,0.34446179607048083,-0.042720862712567476,-0.13428357089272325,0.35,-0.009867009867009835,广电计量,False,,0.0,0.693848368679985,1.2489027911360928,0.7536284299912892,0.22114517629420702,1.1303041504275284,0,0,-1.2300477004536663,0.0,0.3521287528653265,其他
601609,11.37,40.23529411764706,0,0.34273869001058677,0.9123515781809314,True,0.453302491318344,-0.0388841927303466,-0.12064965197215782,0.6,-0.023195876288659933,金田铜业,False,,0.0,0.6374730670955363,0.518153551180249,0.4835050386867697,-0.5782898328827732,1.1303041504275284,0,0,1.5489489561268375,0.0,0.34598967565151617,制造
301047,74.05,32.32432432432432,5,0.3582224561160173,1.1006463208101476,True,0.19646368985382717,-0.00962953056038518,-0.0737961225766105,0.35,0.0028439869989165256,义翘神州,False,,0.0,1.3696424146711488,0.4584548273061019,-0.017070081476051078,1.3081914059424788,-0.03831539492974677,0,0,-1.2300477004536663,0.0,0.3435781921457812,其他
300725,40.19,36.726272352132064,3,0.11153113198387378,1.1590912485623386,False,0.24454889658101722,-0.04377825362836074,-0.08866213151927449,0.45,-0.031099324975891962,药石科技,False,,0.0,0.9622370649121216,1.4095901739158263,-0.1724439189180794,0.9550055172113713,-0.6226251676083844,0,0,-0.11844903782146447,0.0,0.3395625730317431,医药
301078,10.63,49.009900990099034,0,0.17883490718685624,0.9921207938568778,True,0.3110758882235668,-0.031876138433515444,-0.08044982698961933,0.45,-0.00839552238805974,孩子王,False,,0.0,-0.17462688485450836,1.1500958451994212,0.27144131261179033,0.46636470089572346,1.1303041504275284,0,0,-0.11844903782146447,0.0,0.28946888020433914,其他
600129,17.69,43.145161290322605,0,0.26349524898493915,0.7022289262008575,False,0.21081942221308606,-0.023191606847045687,-0.06599788806758178,0.5,-0.002256063169768674,太极集团,False,,0.0,0.36816151553989623,0.8236820816692377,1.0421089077867016,1.2027485382335672,-1.7912447129656597,0,0,0.43735029349463617,0.0,0.2780791591946184,其他
