code,ret_20d,ret_5d,latest_close,roe,gross_margin,revenue_growth,net_profit_growth,debt_ratio,eps,bps,report_date,name,pe,pb,composite_score
300251,2.2350520417497934,-0.14788732394366189,21.78,1.4590581976433037,2.0257668796700017,2.9625481673117773,2.870863786661312,1.6000775739037414,0.8,3.663796973007,2025-09-30,光线传媒,0.50287524499109,-0.047765443940886144,1.6800246351784873
300502,-0.43513140823113877,-0.05354735315814918,372.06,2.3077089049426007,0.9421921159143858,2.9625481673117773,2.6060881466983727,0.6989023963436906,6.37,14.612083281337,2025-09-30,新易盛,-0.18256205113340843,-2.8915957278304925,0.9705852507047573
300476,0.00797393175654505,-0.0031657355679702848,267.65,2.1309833780429654,0.272547238854147,1.7727492687120925,2.870863786661312,-0.15980716994412206,3.78,17.586037247997,2025-09-30,胜宏科技,-0.4550982797773037,-1.6558230051600167,0.7574198021655979
300442,0.19717323938794754,0.025277580911882813,86.8,2.3077089049426007,0.993140650205311,-0.2377196703518584,1.7937046551985043,-0.7226502537639417,2.74,8.287737826305,2025-09-30,润泽科技,0.4049755348959197,-0.8329388574551065,0.629473104027401
601456,-0.2933981866430008,-0.008130081300813052,9.76,-1.1699969994038268,,2.9625481673117773,2.870863786661312,-1.175183132232401,0.31,9.157528915457,2025-09-30,国联民生,0.40926097706593695,0.7981272461472554,0.49181294316920837
300394,2.394499788911969,0.21933511654566296,351.01,2.3077089049426007,1.2137186797093353,1.191282327262981,0.02119495281687038,1.42221509632526,1.8863,6.27469642799,2025-09-30,天孚通信,-2.8667415079473564,-2.8915957278304925,0.426226182879158
600160,0.1480713295164699,0.01981439678956609,40.66,0.5280933684398585,-0.1384566127897807,-0.27171801134212437,1.2363779236917964,0.6534502186351486,1.203,7.56906844613,2025-09-30,巨化股份,0.3583757116678323,0.05154424411990365,0.3137160390541817
002463,-0.04615597228279455,0.001383891502906076,72.36,1.0803606400012242,0.24615382737127578,0.7891258884989037,-0.01238752421451616,0.010551954011768332,1.4134,7.247627624842,2025-09-30,沪电股份,-0.02402481643711104,-0.7480962221965511,0.27584389507843193
300866,-0.8844201160665336,-0.022591101070621677,99.51,0.9751668739895355,0.791394719715923,0.13702825608548944,-0.1854225172701002,-0.1168180742891628,3.63,18.444319890156,2025-09-30,安克创新,0.4987379110268642,0.04750559592585467,0.25562226066635824
688169,-0.2541472549906914,-0.006369426751592355,151.32,-0.6671707978679549,0.7353606604530111,1.4438976040960456,-0.8567441261328528,0.8534715172437962,4.03,53.102968245072,2025-09-30,石头科技,0.2759568121734638,0.4888591226482058,0.2212239947889823
000975,-0.7380715791947727,0.020604852110335692,30.71,0.6595855759544694,-0.166130991809701,0.03231561427935181,-0.0635676322523558,1.29610582804627,0.886,5.194656907096,2025-09-30,山金国际,0.3394157025424648,-0.04207708667230342,0.2163026665258801
600066,-0.19380158102035383,0.013207547169811207,32.22,1.4919312495219563,-0.5204448368960353,-0.40039847915565085,-0.14082256448427458,-0.464852181890279,1.49,6.059289673382,2025-09-30,宇通客车,0.6259873185457676,0.060977486375382625,0.20633020802135277
300832,-0.9376422241362902,-0.024636058230683044,52.26,0.12572721344514906,2.0257668796700017,-0.668828200261675,-0.6737488986430794,1.66831253347768,1.5334,11.129723234274,2025-09-30,新产业,0.3521706788956612,0.16880546880545028,0.202796190401504
000999,-0.12023475818167187,-0.020442930153321992,28.75,-0.18196455213904048,1.310702855694529,-0.34563087267493336,-0.7574395487524946,0.6093225886029953,1.42,12.687775778311,2025-09-30,华润三九,0.6562701591432509,0.5900427350455204,0.17344236978332733
601298,0.4785886222266275,-0.028632025450689214,9.16,-0.4449489671682623,0.3790656374718757,-0.6256575172373107,-0.4613133189535598,1.023704944409331,0.64,6.988528848423,2025-09-30,青岛港,0.7867049838442596,0.7556615716728753,0.15273807224010483
603893,-0.3195316857930358,0.010785655625513257,184.62,0.8857521728796001,0.620456682758769,0.656905418888395,0.8109188886045503,1.3927809040458103,1.86,10.069835268515,2025-09-30,瑞芯微,-1.0804839720781387,-2.1958127565752568,0.14449485490154218
688082,-1.1626709896159293,-0.017957474936653006,178.28,0.3150759922661887,1.07697068707044,0.18493450603107497,0.20781878435652085,0.9274520873322416,2.87,27.671344510554,2025-09-30,盛美上海,-0.26411825724411064,-0.13412790535895283,0.14268190214971443
600415,-1.145348692443926,-0.01572739187418093,15.02,0.4084354596015626,0.3532537965305333,-0.0018181173688534172,0.003368208680495859,-0.17921061870099378,0.63,4.045613544739,2025-09-30,小商品城,0.5772530376185421,0.3392148098742309,0.10513008035179984
002028,1.0076834165959703,0.0773076923076923,224.08,0.428159290728754,0.06501284524697444,0.28621887024275744,-0.013373665093775163,0.04960755349451524,2.81,18.506395021633,2025-09-30,思源电气,-0.6515401982099889,-1.11640368379299,0.03008630559573554
600489,0.9202604959058102,0.03770437103770452,31.1,0.000809616306268548,-0.8094670732430547,-0.17364813000025217,-0.09890656202774387,0.08441133965392725,0.76,6.023036582328,2025-09-30,中金黄金,0.20182223110994235,0.08766859905492717,0.022784718362093836
000807,-0.9612681480660107,-0.03891173679215443,30.38,0.2177717587053766,-0.9300607216552557,-0.3135513222632392,-0.3641900852806081,1.107752285237205,1.268,9.320066540241,2025-09-30,云铝股份,0.5746654183254799,0.41776067488274493,0.009720866662218983
601018,0.793098152982161,-0.007246376811594013,4.11,-1.0471832775851804,-0.026468764518820152,-0.5426399110268005,-0.5923510010757497,0.9886512647359942,0.199,4.093075608444,2025-09-30,宁波港,0.6473285616143628,0.8045410389308639,0.003013711176543199
