[2026-03-03 18:27:30] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 18:27:35] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 18:27:57] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (1天)
[2026-03-03 18:27:57] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 18:31:10] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 18:31:12] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 18:32:39] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 18:32:41] quant.tushare_adapter INFO: Tushare批量资金流: 1/2 (3天)
[2026-03-03 18:32:46] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (3天)
[2026-03-03 18:32:50] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 18:32:54] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 18:32:58] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 18:33:25] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (1天)
[2026-03-03 18:33:25] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 18:37:53] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 18:37:55] quant.tushare_adapter INFO: Tushare批量资金流: 1/2 (3天)
[2026-03-03 18:37:59] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (3天)
[2026-03-03 18:38:03] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 18:38:11] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 18:38:15] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 18:38:37] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (1天)
[2026-03-03 18:38:37] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 18:42:27] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 18:42:29] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 18:43:10] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 18:44:42] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 18:44:44] quant.tushare_adapter INFO: Tushare批量资金流: 1/2 (3天)
[2026-03-03 18:44:50] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (3天)
[2026-03-03 18:44:55] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 18:45:00] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 18:45:09] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 18:45:50] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (1天)
[2026-03-03 18:45:50] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 18:50:15] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 18:50:16] quant.tushare_adapter INFO: Tushare批量资金流: 1/2 (3天)
[2026-03-03 18:50:22] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (3天)
[2026-03-03 18:50:27] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 18:50:33] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 18:50:37] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 18:51:16] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (1天)
[2026-03-03 18:51:16] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 19:13:33] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 19:17:44] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 19:17:46] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:21:03] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 19:21:05] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:21:42] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:22:06] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:22:31] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:22:55] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:23:19] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:23:44] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:24:08] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:24:34] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:24:58] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:25:22] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:25:50] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:26:16] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:26:39] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:27:03] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:27:27] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:27:52] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:28:16] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:28:41] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:37:14] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 19:37:15] quant.tushare_adapter INFO: Tushare批量资金流: 1/2 (3天)
[2026-03-03 19:37:22] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:37:30] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:38:08] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (1天)
[2026-03-03 19:38:08] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 19:42:30] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 19:42:31] quant.tushare_adapter INFO: Tushare批量资金流: 1/2 (3天)
[2026-03-03 19:42:37] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:42:41] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:43:21] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (1天)
[2026-03-03 19:43:21] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 19:47:46] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 19:47:48] quant.tushare_adapter INFO: Tushare批量资金流: 1/2 (3天)
[2026-03-03 19:47:54] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:47:58] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 19:48:37] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (1天)
[2026-03-03 19:48:37] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 21:22:04] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 21:22:05] quant.tushare_adapter INFO: Tushare批量资金流: 1/2 (3天)
[2026-03-03 21:22:11] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 21:22:27] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 21:23:05] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (1天)
[2026-03-03 21:23:05] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 21:31:44] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 21:31:45] quant.tushare_adapter INFO: Tushare批量资金流: 1/2 (3天)
[2026-03-03 21:31:55] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 21:32:02] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 21:32:48] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (1天)
[2026-03-03 21:32:48] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 21:44:35] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 21:44:37] quant.tushare_adapter INFO: Tushare批量资金流: 1/2 (3天)
[2026-03-03 21:44:43] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 21:44:47] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 21:45:26] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (1天)
[2026-03-03 21:45:26] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
[2026-03-03 22:00:06] quant.tushare_adapter INFO: Tushare Pro 初始化成功
[2026-03-03 22:00:08] quant.tushare_adapter INFO: Tushare批量资金流: 1/2 (3天)
[2026-03-03 22:00:56] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 22:01:01] quant.tushare_adapter INFO: Tushare批量资金流: 1/1 (3天)
[2026-03-03 22:01:41] quant.tushare_adapter INFO: Tushare批量资金流: 2/2 (1天)
[2026-03-03 22:01:41] quant.tushare_adapter INFO: Tushare龙虎榜: 2条 (20260303)
